parents,clones,t1,t2,t3
215,215,15895,62727,126631
216,216,15847,69425,128574
217,217,15828,51834,95534
218,218,15809,77720,187975
219,219,15799,67359,131658
220,220,15780,77699,147730
221,221,15722,58783,125188
222,222,15665,60431,133884
223,223,15665,73390,152040
224,224,15646,66305,127395
225,225,15550,69519,152861
226,226,15407,55736,89385
227,227,15311,73546,130847
228,228,15158,38750,63155
229,229,15158,47368,86480
230,230,15139,61360,146315
231,231,15110,49445,85225
232,232,15101,31614,70757
233,233,15091,46242,108409
234,234,15072,62309,120029
235,235,15063,72033,155266
236,236,15005,53795,84056
237,237,14986,34233,74558
238,238,14881,51260,99599
239,239,14862,60744,109324
240,240,14833,70437,158171
241,241,14833,59252,152153
242,242,14804,47285,79170
243,243,14651,81371,184683
244,244,14651,74224,148871
245,245,14537,52961,74247
246,246,14517,48714,64476
247,247,14517,70927,150418
248,248,14517,55569,113209
249,249,14517,69623,166735
250,250,14498,65335,144504
251,251,14479,56049,131988
252,252,14479,42965,104891
253,253,14451,33054,78953
254,254,14384,64563,142986
255,255,14307,46669,61901
256,256,14288,42861,110569
257,257,14221,54275,126603
258,258,14173,56821,110295
259,259,14154,56227,101806
260,260,14049,55600,113634
261,261,14011,50509,106079
262,262,13982,52856,128272
263,263,13925,59044,106315
264,264,13925,68423,134252
265,265,13905,53889,138637
266,266,13896,59513,140731
267,267,13886,58470,123622
268,268,13886,55600,136270
269,269,13772,53889,105221
270,270,13714,55277,110040
271,271,13695,75758,140929
272,272,13628,51166,87857
273,273,13619,48527,84829
274,274,13599,57875,118878
275,275,13599,46784,76595
276,276,13561,47212,73455
277,277,13494,53576,111917
278,278,13485,55507,115237
279,279,13485,59607,109871
280,280,13475,53211,94054
281,281,13389,34598,73275
282,282,13379,55788,123037
283,283,13293,50446,78161
284,284,13246,49194,85367
285,285,13150,56540,111870
286,286,13131,47838,91592
287,287,13121,53597,117916
288,288,13093,55580,88527
289,289,13035,49006,80858
290,290,12949,62925,123603
291,291,12949,51010,80594
292,292,12930,56978,135119
293,293,12911,41421,66786
294,294,12892,44489,80689
295,295,12863,65523,171950
296,296,12853,46283,99713
